Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Colorado Springs - CO,786472.4375,787250.625,788130.125,789107.75,790194.5,791378.5,792658.5,794032.0,795457.25,796946.75,798516.125,800144.6875,801813.5,803526.625,805278.0,807071.75,808910.5625,810790.0,812695.375,814637.5625
Columbia - SC,888703.1875,890409.125,892031.8125,893566.3125,895012.0625,896365.625,897623.75,898787.1875,899981.0,901208.3125,902461.6875,903747.8125,905055.75,906407.75,907817.0625,909261.625,910737.1875,912240.4375,913788.3125,915358.8125
Columbus - OH,2264065.0,2268639.0,2273090.0,2277400.0,2281508.0,2285459.0,2289294.0,2293007.0,2296814.0,2300748.0,2304859.0,2309141.0,2313577.0,2318146.0,2322850.0,2327701.0,2332673.0,2337789.0,2343095.0,2348543.0
Corpus Christi - TX,453170.90625,453072.8125,452964.90625,452846.09375,452719.0,452579.5,452426.09375,452258.09375,452107.09375,451977.8125,451879.90625,451801.0,451737.6875,451692.28125,451674.59375,451675.90625,451697.8125,451736.0,451789.625,451874.6875
Dallas-Fort Worth - TX,8554717.0,8579822.0,8604909.0,8630188.0,8655607.0,8681085.0,8706277.0,8731272.0,8756674.0,8782555.0,8809093.0,8836274.0,8864163.0,8892599.0,8921807.0,8951698.0,8982148.0,9013180.0,9045046.0,9077762.0
Dayton - OH,820546.375,820180.75,819778.6875,819339.875,818862.6875,818344.75,817783.625,817180.1875,816609.0,816083.375,815602.0,815169.3125,814770.375,814409.125,814082.8125,813792.4375,813535.375,813314.5625,813130.8125,812981.8125
Daytona Beach - FL,746956.3125,748345.0,749776.5,751218.8125,752693.1875,754172.75,755672.625,757172.5,758690.625,760240.4375,761842.25,763473.0,765130.6875,766828.125,768575.0,770361.0,772193.625,774063.1875,775964.625,777897.6875
Denver - CO,3088620.0,3091021.0,3093778.0,3096869.0,3100279.0,3104009.0,3108076.0,3112464.0,3117041.0,3121855.0,3126970.0,3132328.0,3137876.0,3143611.0,3149511.0,3155587.0,3161834.0,3168271.0,3174842.0,3181573.0
Des Moines - IA,764946.5,766675.875,768392.375,770105.0,771826.0,773550.1875,775272.5625,776995.8125,778746.875,780538.5625,782372.0,784253.0,786167.3125,788120.625,790111.875,792140.9375,794203.9375,796305.625,798445.6875,800625.1875
Detroit - MI,4393200.0,4391054.0,4388841.0,4386566.0,4384230.0,4381862.0,4379448.0,4377019.0,4374743.0,4372696.0,4370882.0,4369317.0,4367957.0,4366797.0,4365843.0,4365073.0,4364474.0,4364079.0,4363893.0,4363905.0
Durham - NC,634200.0625,635559.6875,636829.5625,638009.6875,639085.3125,640070.125,640966.3125,641776.125,642616.375,643498.5,644430.0,645410.1875,646438.1875,647509.6875,648594.4375,649721.625,650882.375,652090.0,653343.8125,654639.875
East Bay - CA,2829752.0,2830310.0,2830406.0,2830741.0,2831252.0,2831657.0,2832286.0,2833181.0,2834209.0,2835421.0,2836822.0,2838449.0,2840336.0,2842453.0,2844793.0,2847359.0,2850104.0,2853102.0,2856356.0,2859869.0
El Paso - TX,889614.9375,890206.0,890779.1875,891337.25,891900.0,892443.5,892963.8125,893454.5625,893967.5625,894520.375,895133.0,895781.625,896460.5,897173.0,897933.875,898731.0625,899562.8125,900428.5625,901323.1875,902294.1875
Fayetteville - NC,399138.78125,399502.59375,399813.1875,400070.59375,400274.28125,400436.0,400544.0,400597.40625,400666.28125,400771.0,400901.40625,401055.0,401228.3125,401434.59375,401600.1875,401784.0,401983.71875,402217.71875,402471.09375,402745.3125
Flint - MI,396681.5,395939.6875,395201.5,394466.8125,393745.0,393029.125,392316.8125,391608.5,390915.90625,390245.09375,389595.6875,388966.71875,388349.625,387746.78125,387161.5,386589.8125,386033.28125,385489.5,384959.40625,384445.3125
Fort Lauderdale - FL,2036747.0,2036941.0,2037070.0,2037024.0,2036610.0,2036047.0,2035415.0,2034058.0,2032769.0,2031608.0,2030653.0,2029890.0,2029469.0,2029327.0,2029477.0,2029890.0,2030474.0,2031399.0,2032544.0,2033998.0
Fort Myers - FL,869167.8125,871517.1875,873874.8125,876219.4375,878548.0,880863.125,883189.0625,885507.0625,887849.8125,890235.4375,892694.8125,895206.4375,897786.625,900439.25,903176.5625,905987.125,908867.1875,911827.5625,914863.25,917960.875
Fort Wayne - IN,467970.40625,468242.625,468481.8125,468688.5,468900.3125,469113.90625,469327.6875,469542.59375,469769.28125,470016.59375,470275.6875,470546.59375,470833.40625,471134.40625,471450.0,471778.6875,472120.21875,472474.78125,472844.40625,473227.90625
Fresno - CA,1186476.0,1186788.0,1187290.0,1187940.0,1188751.0,1189733.0,1190845.0,1192089.0,1193385.0,1194755.0,1196186.0,1197694.0,1199261.0,1200894.0,1202597.0,1204362.0,1206199.0,1208095.0,1210052.0,1212067.0
Grand Rapids - MI,1189117.0,1190450.0,1191768.0,1193081.0,1194402.0,1195719.0,1197037.0,1198356.0,1199715.0,1201128.0,1202607.0,1204142.0,1205715.0,1207334.0,1209003.0,1210713.0,1212462.0,1214254.0,1216092.0,1217951.0
Greensboro - NC,812630.6875,813357.8125,813976.9375,814490.625,814897.6875,815196.875,815387.1875,815466.625,815580.3125,815741.0,815953.6875,816216.9375,816519.0,816861.5,817193.5,817564.875,817971.5,818418.0625,818902.5625,819435.5
Greenville - SC,1022027.0,1024484.0,1026817.0,1029026.0,1031105.9375,1033058.9375,1034886.0,1036586.0625,1038307.0,1040056.0,1041832.0,1043636.0,1045459.0,1047327.0,1049234.0,1051175.0,1053144.0,1055141.0,1057169.0,1059224.0
Gulfport-Biloxi-Pascagoula - MS,430707.09375,430703.1875,430625.625,430510.09375,430363.0,430185.90625,429967.1875,429724.09375,429476.59375,429232.5,428982.0,428738.90625,428494.28125,428251.59375,427996.0,427741.3125,427488.3125,427287.6875,427143.5,427049.0
Harrisburg - PA,615800.4375,615806.0,615814.5625,615828.125,615851.625,615879.0,615907.5,615939.25,615994.8125,616086.3125,616211.5,616374.3125,616562.0625,616778.375,617026.0,617302.3125,617604.375,617934.6875,618299.0,618690.4375
Hartford - CT,1170303.0,1169275.0,1168203.0,1167114.0,1166004.0,1164886.0,1163718.0,1162533.0,1161383.0,1160282.0,1159198.0,1158179.0,1157228.0,1156343.0,1155517.0,1154757.0,1154055.0,1153427.0,1152869.0,1152395.0
Honolulu - HI,985169.8125,983806.8125,982502.375,981254.8125,980053.5,978904.125,977805.125,976755.1875,975791.875,974957.6875,974241.6875,973648.0625,973180.75,972850.5,972661.3125,972616.5,972704.3125,972948.3125,973252.5,973736.5
Houston - TX,8016838.0,8041804.0,8066299.0,8090477.0,8114143.0,8137683.0,8160347.0,8182742.0,8205477.5,8228449.0,8252044.0,8276254.0,8301234.5,8326590.0,8352716.0,8379513.5,8406800.0,8434516.0,8463096.0,8492442.0
Huntsville - AL,553022.5,554116.8125,555178.5,556213.9375,557233.5,558238.6875,559228.5625,560207.875,561195.625,562204.5,563228.875,564271.8125,565318.5,566371.0,567432.3125,568501.125,569576.125,570660.875,571749.3125,572845.8125
Indianapolis - IN,2213551.0,2216863.0,2220026.0,2223018.0,2225986.0,2228944.0,2231908.0,2234876.0,2237911.0,2241061.0,2244282.0,2247595.0,2251032.0,2254578.0,2258261.0,2262048.0,2265919.0,2269902.0,2273947.0,2278083.0
Inland Empire - CA,4762449.0,4767786.0,4773927.0,4780667.0,4788104.0,4796222.0,4804855.0,4813993.0,4823319.0,4832904.0,4842704.0,4852772.0,4863026.0,4873494.0,4884209.0,4895148.0,4906339.0,4917718.0,4929291.0,4940994.0
Jackson - MS,596930.75,595682.5,594455.625,593295.3125,592205.3125,591196.0,590228.5,589313.875,588471.0,587725.0,587039.6875,586425.0,585865.4375,585379.5,584923.8125,584512.8125,584144.6875,583810.5,583519.5625,583267.8125
Jacksonville - FL,1783791.0,1787608.0,1791495.0,1795391.0,1799333.0,1803288.0,1807295.0,1811311.0,1815392.0,1819567.0,1823892.0,1828310.0,1832838.0,1837490.0,1842294.0,1847220.0,1852278.0,1857459.0,1862762.0,1868172.0
Kansas City - MO,2281339.0,2283586.0,2285438.0,2287211.0,2288934.0,2290543.0,2292093.0,2293525.0,2294941.0,2296391.0,2297843.0,2299422.0,2301079.0,2302828.0,2304678.0,2306619.0,2308643.0,2310751.0,2312936.0,2315209.0
Killeen - TX,518619.3125,519547.59375,520466.8125,521379.53125,522299.0625,523209.78125,524109.6875,524994.0625,525893.0,526817.0625,527777.6875,528760.375,529761.75,530784.125,531835.875,532910.0,534007.0,535124.5,536260.5,537439.6875
Knoxville - TN,968519.6875,969634.8125,970719.8125,971775.375,972810.125,973811.1875,974776.0,975702.8125,976660.25,977663.5,978708.9375,979797.9375,980903.625,982034.125,983197.5625,984384.0,985594.75,986827.0625,988080.875,989356.625
Lafayette - LA,426271.3125,426674.8125,427003.8125,427277.71875,427507.90625,427691.09375,427823.6875,427911.0,427974.90625,428024.6875,428057.71875,428085.28125,428102.375,428113.59375,428129.40625,428142.90625,428154.59375,428192.09375,428253.59375,428341.625
Lakeland - FL,872436.0,875475.5,878544.625,881613.125,884697.5,887783.375,890891.4375,893998.25,897133.0,900310.625,903557.6875,906850.25,910195.3125,913601.0,917081.1875,920622.375,924228.0625,927895.6875,931622.9375,935404.125
Lancaster - PA,564857.125,565054.6875,565252.375,565452.8125,565663.3125,565876.375,566090.0625,566304.0625,566536.9375,566798.5625,567088.9375,567409.0,567745.625,568103.8125,568482.9375,568884.125,569305.8125,569748.4375,570213.6875,570703.5
Lansing - MI,478715.09375,478675.6875,478630.71875,478580.1875,478524.0,478465.59375,478403.90625,478342.28125,478297.59375,478278.1875,478284.90625,478319.625,478377.40625,478457.78125,478561.3125,478685.90625,478830.0,478997.3125,479187.71875,479400.59375
Las Vegas - NV,2420211.0,2424506.0,2429103.0,2433998.0,2439190.0,2444671.0,2450440.0,2456491.0,2462600.0,2468821.0,2475134.0,2481559.0,2488041.0,2494614.0,2501211.0,2507893.0,2514668.0,2521526.0,2528417.0,2535359.0
Lehigh Valley - PA,885231.625,885029.9375,884817.625,884597.5,884372.9375,884169.8125,883960.3125,883745.4375,883557.625,883443.75,883376.125,883355.6875,883371.6875,883457.1875,883781.8125,884144.6875,884540.75,885010.8125,885534.4375,886099.3125
Lexington - KY,541825.9375,542576.75,543297.4375,543988.0,544642.375,545265.8125,545858.5625,546423.25,546996.1875,547588.3125,548190.6875,548804.875,549438.8125,550087.25,550748.4375,551421.0,552098.875,552789.125,553492.5,554202.875
Little Rock - AR,779245.3125,779938.3125,780591.3125,781206.1875,781786.8125,782328.9375,782829.5,783289.0,783784.1875,784327.1875,784904.75,785524.5,786166.375,786833.3125,787484.9375,788160.125,788861.3125,789584.625,790332.5,791102.8125
Long Island - NY,2912434.0,2910405.0,2908569.0,2907243.0,2905824.0,2904360.0,2902916.0,2901453.0,2900132.0,2899083.0,2898250.0,2897423.0,2896801.0,2896363.0,2896280.0,2896359.0,2896593.0,2897036.0,2897758.0,2898656.0
Los Angeles - CA,9667445.0,9653124.0,9640324.0,9628546.0,9617702.0,9608056.0,9599364.0,9591594.0,9584235.0,9577435.0,9571140.0,9565472.0,9560425.0,9555981.0,9552157.0,9548940.0,9546228.0,9544132.0,9542796.0,9542088.0
Louisville - KY,1409398.0,1411023.0,1412573.0,1414049.0,1415473.0,1416864.0,1418216.0,1419526.0,1420872.0,1422294.0,1423759.0,1425262.0,1426818.0,1428432.0,1430088.0,1431781.0,1433502.0,1435275.0,1437089.0,1438923.0
Madison - WI,717076.5,717883.4375,718662.75,719400.375,720078.125,720713.3125,721325.375,721902.75,722507.0,723151.6875,723845.8125,724590.8125,725383.1875,726218.8125,727103.875,728050.0,729043.1875,730083.8125,731215.8125,732429.375
Manchester - NH,433290.40625,433438.8125,433588.0,433741.09375,433904.6875,434076.125,434251.3125,434430.3125,434627.40625,434848.6875,435097.09375,435371.0,435659.21875,435964.28125,436305.78125,436666.40625,437041.09375,437431.5,437839.6875,438261.40625
McAllen - TX,930897.0,932316.5,933719.75,935112.4375,936516.9375,937907.5,939278.6875,940621.875,941992.0,943407.0,944888.4375,946410.5625,947967.6875,949563.5,951211.9375,952902.0,954633.3125,956403.375,958207.8125,960085.0
Melbourne - FL,662433.25,663445.625,664476.6875,665504.375,666550.75,667614.8125,668691.3125,669758.1875,670833.6875,671950.9375,673108.8125,674282.875,675472.625,676711.8125,677794.0,678901.6875,680042.125,681231.875,682444.25,683680.0
Memphis - TN,1349397.0,1349518.0,1349600.0,1349650.0,1349667.0,1349649.0,1349591.0,1349495.0,1349450.0,1349483.0,1349583.0,1349763.0,1349985.0,1350262.0,1350594.0,1350978.0,1351410.0,1351891.0,1352422.0,1353003.0
Miami - FL,2831848.0,2831457.0,2831339.0,2831008.0,2830203.0,2829222.0,2828212.0,2826245.0,2824391.0,2822729.0,2821409.0,2820376.0,2819828.0,2819679.0,2819971.0,2820640.0,2821563.0,2822966.0,2824955.0,2827386.0
Milwaukee - WI,1570121.0,1568734.0,1567305.0,1565812.0,1564240.0,1562599.0,1560888.0,1559114.0,1557404.0,1555789.0,1554244.0,1552805.0,1551453.0,1550180.0,1549004.0,1547903.0,1546866.0,1545905.0,1545029.0,1544237.0
Minneapolis - MN,3803462.0,3807288.0,3811064.0,3814830.0,3818564.0,3822274.0,3825956.0,3829612.0,3833350.0,3837265.0,3841299.0,3845481.0,3849834.0,3854372.0,3859090.0,3864008.0,3869101.0,3874413.0,3879957.0,3885758.0
Mobile - AL,414831.5,414923.625,415004.5,415078.71875,415156.71875,415235.5,415313.0,415390.6875,415480.90625,415592.09375,415719.21875,415864.59375,416014.09375,416171.0,416336.09375,416509.625,416690.71875,416879.5,417071.28125,417273.0
Modesto - CA,553935.125,553741.0,553636.4375,553595.8125,553627.3125,553734.8125,553901.125,554125.5,554371.25,554648.3125,554952.5,555289.125,555650.0,556038.8125,556458.6875,556905.1875,557380.8125,557882.3125,558410.8125,558966.5
Montgomery - AL,391779.0,391988.1875,392183.90625,392369.8125,392553.3125,392733.71875,392908.0,393079.59375,393261.0,393459.8125,393673.09375,393902.5,394136.5,394376.71875,394623.6875,394877.59375,395137.6875,395405.3125,395680.125,395962.5
Myrtle Beach - SC,428952.40625,430766.59375,432543.09375,434279.3125,435977.6875,437632.6875,439244.59375,440810.40625,442390.1875,443986.78125,445601.0,447231.28125,448870.40625,450532.0,452205.5,453897.40625,455607.5,457331.59375,459070.09375,460821.59375
Naples - FL,418191.90625,418907.40625,419628.59375,420339.125,421027.5,421705.59375,422385.90625,423062.40625,423753.375,424467.8125,425220.875,426004.0,426830.59375,427697.59375,428610.8125,429563.90625,430550.90625,431582.5,432659.40625,433777.09375
Nashville - TN,2201762.0,2206551.0,2211253.0,2215867.0,2220359.0,2224755.0,2229058.0,2233273.0,2237575.0,2241998.0,2246542.0,2251217.0,2255981.0,2260839.0,2265811.0,2270866.0,2275988.0,2281206.0,2286526.0,2291951.0
New Haven - CT,577135.625,576601.5,576047.625,575487.5,574924.6875,574358.0,573769.3125,573174.5,572595.0625,572040.375,571493.4375,570975.5,570487.5,570029.1875,569598.1875,569197.375,568825.0625,568484.1875,568174.625,567902.75
New Orleans - LA,970953.9375,970760.9375,970517.25,970246.0,969953.1875,969667.125,969347.0,968999.375,968681.5625,968442.8125,968227.5,968054.0,967920.3125,967857.4375,967996.0,968172.4375,968380.6875,968665.5,968988.875,969358.0
New York - NY,12338060.0,12336700.0,12335900.0,12336690.0,12336460.0,12336070.0,12335510.0,12334850.0,12334740.0,12335630.0,12337360.0,12339260.0,12342080.0,12345730.0,12350230.0,12355530.0,12361530.0,12368460.0,12375930.0,12384520.0
Norfolk - VA,1804902.0,1804955.0,1804917.0,1804805.0,1804636.0,1804380.0,1804019.0,1803555.0,1803178.0,1802921.0,1802756.0,1802698.0,1802727.0,1802851.0,1803030.0,1803300.0,1803660.0,1804102.0,1804624.0,1805236.0
Northern New Jersey - NJ,2289557.0,2287835.0,2286349.0,2284584.0,2283781.0,2282948.0,2282173.0,2281383.0,2280674.0,2280107.0,2279646.0,2279301.0,2279147.0,2279169.0,2279349.0,2279709.0,2280225.0,2280928.0,2281973.0,2282924.0
Northwest Arkansas - AR,623061.25,624495.4375,625852.1875,627145.375,628361.0625,629512.6875,630606.875,631642.5625,632690.625,633762.3125,634846.125,635958.1875,637092.125,638243.75,639381.125,640535.5625,641703.1875,642893.6875,644088.0625,645304.8125
Ocala - FL,438413.3125,439299.71875,440193.5,441082.09375,441982.90625,442885.1875,443800.6875,444719.09375,445654.0,446612.21875,447606.8125,448621.875,449655.3125,450714.1875,451803.90625,452918.625,454062.1875,455227.90625,456412.59375,457619.28125
Ogden - UT,676464.1875,677967.25,679546.3125,681200.0625,682941.5625,684754.5625,686635.3125,688579.5625,690555.125,692570.9375,694635.625,696741.0625,698871.8125,701034.4375,703249.5,705494.8125,707777.125,710093.0,712445.375,714819.375
Oklahoma City - OK,1519200.0,1521065.0,1522937.0,1524784.0,1526602.0,1528406.0,1530197.0,1531982.0,1533824.0,1535750.0,1537772.0,1539897.0,1542103.0,1544391.0,1546748.0,1549184.0,1551679.0,1554264.0,1556932.0,1559690.0
Omaha - NE,1017753.0,1019375.0,1021032.0,1022653.0,1024256.0,1025868.0625,1027479.0,1029064.9375,1030662.0,1032323.0,1034040.0625,1035793.0,1037566.0625,1039397.0,1041286.0,1043194.0,1045121.9375,1047114.0,1049116.0,1051157.0
Orange County - CA,3147497.0,3145711.0,3144447.0,3143516.0,3142888.0,3142648.0,3142691.0,3143036.0,3143518.0,3144195.0,3145058.0,3146123.0,3147392.0,3148859.0,3150515.0,3152368.0,3154389.0,3156612.0,3158930.0,3161457.0
Orlando - FL,2984531.0,2990872.0,2998191.0,3005431.0,3012457.0,3019232.0,3028031.0,3036841.0,3045746.0,3054683.0,3063882.0,3073379.0,3083299.0,3093394.0,3103894.0,3114772.0,3125957.0,3137336.0,3149171.0,3161432.0
Palm Beach - FL,1597129.0,1599489.0,1602046.0,1604462.0,1606583.0,1608576.0,1610486.0,1611818.0,1613200.0,1614690.0,1616301.0,1618057.0,1620081.0,1622325.0,1624768.0,1627414.0,1630201.0,1633256.0,1636577.0,1640160.0
Pensacola - FL,540776.9375,541214.8125,541678.3125,542149.75,542649.75,543157.0,543681.8125,544207.875,544749.0625,545313.8125,545916.0,546538.3125,547179.0,547846.6875,548549.375,549279.3125,550042.125,550829.0,551638.5,552467.3125
Philadelphia - PA,6332704.0,6331226.0,6329726.0,6328228.0,6326782.0,6325347.0,6323907.0,6322478.0,6321271.0,6320413.0,6319894.0,6319740.0,6319866.0,6320300.0,6321042.0,6322094.0,6323423.0,6325065.0,6327035.0,6329353.0
Phoenix - AZ,5273392.0,5286490.0,5299580.0,5312702.0,5325896.0,5339158.0,5352469.0,5365846.0,5379485.0,5393485.0,5407833.0,5422558.0,5437610.0,5453008.0,5468741.0,5484813.0,5501210.0,5517915.0,5534989.0,5552372.0
Pittsburgh - PA,2415932.0,2413422.0,2410918.0,2408427.0,2405991.0,2403572.0,2401157.0,2398748.0,2396419.0,2394218.0,2392139.0,2390184.0,2388297.0,2386500.0,2384790.0,2383172.0,2381641.0,2380194.0,2378840.0,2377585.0
Port St. Lucie - FL,562030.8125,563465.5,564918.0625,566372.6875,567846.3125,569322.5625,570814.5,572306.6875,573814.0625,575348.0625,576923.5625,578524.5,580151.125,581812.1875,583514.75,585252.1875,587028.3125,588838.375,590678.6875,592543.5
Portland - ME,578294.3125,578666.375,579060.0,579442.0625,579806.5,580158.0,580485.75,580802.625,581121.8125,581456.125,581795.125,582141.1875,582498.25,582864.625,583228.375,583600.8125,583974.6875,584357.8125,584762.5,585181.0625
Portland - OR,2547867.0,2549723.0,2551804.0,2554109.0,2556646.0,2559409.0,2562417.0,2565639.0,2568961.0,2572424.0,2576044.0,2579808.0,2583668.0,2587634.0,2591710.0,2595896.0,2600186.0,2604580.0,2609042.0,2613602.0
Poughkeepsie - NY,720606.6875,720829.875,721072.8125,721391.75,721686.0,721955.0,722198.9375,722419.125,722649.75,722918.5,723212.5625,723491.8125,723796.3125,724123.875,724481.8125,724865.125,725271.4375,725717.75,726202.8125,726728.0625
Providence - RI,1703153.0,1703402.0,1703604.0,1703781.0,1703938.0,1704070.0,1704177.0,1704262.0,1704395.0,1704603.0,1704888.0,1705261.0,1705751.0,1706352.0,1707066.0,1707894.0,1708825.0,1709873.0,1711043.0,1712336.0
Provo - UT,776093.3125,778555.5,781086.8125,783686.1875,786352.0,789084.5,791882.875,794745.75,797642.0,800583.625,803581.5,806631.75,809726.0625,812865.75,816074.25,819327.375,822626.5,825978.875,829401.3125,832860.5
Raleigh - NC,1614956.0,1620820.0,1626458.0,1631877.0,1637061.0,1642029.0,1646777.0,1651301.0,1655904.0,1660611.0,1665437.0,1670373.0,1675461.0,1680638.0,1685888.0,1691236.0,1696660.0,1702182.0,1707826.0,1713580.0
Reading - PA,439493.5,439488.5,439482.21875,439474.40625,439467.0,439458.40625,439446.6875,439434.21875,439435.90625,439460.78125,439508.59375,439580.90625,439671.125,439781.0,439912.0,440063.1875,440231.59375,440420.8125,440635.3125,440872.09375
Reno - NV,578534.5,579345.0,580237.125,581209.875,582265.0,583398.5,584608.1875,585891.4375,587192.6875,588522.25,589875.6875,591255.125,592647.125,594059.0625,595478.0625,596916.1875,598377.0625,599856.8125,601343.8125,602849.8125
